time_ns,A,B,C,AB,AC,BC,ABC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.00000176854277,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.00000353708553,-2.30282311582759e-19,2.3026391204556105e-19,-2.302636251323941e-19,-4.605781117975387e-19,-4.605684135711811e-19,-2.2895747871549127e-23,1.1514288369514789e-18
150.0000053056283,0.07202329358038066,-3.074485725763909e-07,-2.203959218310611e-05,-0.021110935477050376,-0.04545425162254525,2.2554779992647878e-07,-0.005544336666157477
200.00000707417107,0.1732995656967034,1.8097717586970652e-06,-5.427242176899577e-05,-0.045028614069997204,-0.09595636119971335,5.248154310875941e-06,-0.03253721743607411
250.00000884271384,0.3641930260951192,3.135929561320222e-05,-0.00015401404620558196,-0.09535822772740568,-0.11351088680908408,3.158883542746932e-05,-0.15615396962181743
300.0000106112566,0.3753855115544061,3.4007939833227696e-05,-0.00016155183932962947,-0.1002911475416613,-0.10870470276895677,3.349011521197598e-05,-0.16730564782184632
350.0000123797994,0.1662932826477911,8.894625889085961e-05,-0.0002441348353033057,-0.00412223302703596,-0.3408463679331234,1.4456219981362484e-06,0.17861477524193178
400.00001414834213,0.8039052897728893,-0.00033012720027406073,-6.984149979608056e-05,0.6669252650917152,-1.325296176129022,0.0005515486639365574,-0.14582640113866238
450.0000159168849,0.8015307464825407,-0.0003290396021310704,-7.430788902393348e-05,0.6661307385644426,-1.3258520330572776,0.0005510361303762978,-0.14210561358377094
500.0000176854277,1.448910102247874,0.0007047508277240877,-0.0004170998853291752,0.7996321771626613,-1.730082169678479,-0.0007456476219584451,-0.5179401421671364
550.0000194539705,1.7037490170797738,0.0002889621605223214,-0.0005475719932571677,0.5657137529874834,-1.8577046364105385,-0.0007421836545822291,-0.41018795175305167
600.0000212225132,1.7892969237934877,0.0001839457540376288,-0.0006459233992112123,0.6149782149725054,-2.0651550672138197,-0.00024166760394678244,-0.3382977651417103
650.000022991056,2.2317765649116312,-0.0001489855758644021,-0.0003063210627267665,0.6994215214278834,-2.879514084614388,0.0016291683750824237,-0.05143443340722498
700.0000247595988,2.2112750545278512,-5.698430968870127e-06,-0.0004120507077087776,0.7318290561604093,-2.8974855180432435,0.0017798274723976881,-0.045423193913183724
750.0000265281415,2.6554949303538136,-0.0007989971897779391,0.0012960465047507919,0.641532388713381,-3.161729624713518,0.0007922664330752838,-0.13390510410014067
800.0000282966841,2.999817068242843,0.0002635568688310608,0.0005872310994617935,0.9280917645301945,-3.5002269812514912,-0.0005592558063765019,-0.42516741924885304
850.000030065227,3.404202280293438,0.0011165082643277424,-0.00017914216821335316,1.2413803676020945,-3.8848031489901733,-0.0012848839434355108,-0.7593016604608592
900.0000318337698,3.778293686429908,0.00028313250009026625,0.0006504944237409882,1.2489948651663259,-4.1324249370424635,-0.0005335297798290117,-0.8940068079965862
950.0000336023124,3.766400977006218,0.00034623911701370247,0.0006207642787656731,1.2931536665161967,-4.157448579762686,-0.0005684320857772818,-0.9011839144755925
1000.0000353708551,3.9060592004622734,0.0005110314919197778,0.0005577615224483523,1.5043341487284845,-4.473408561548026,-0.000590317957161246,-0.9356875167082304
1050.000037139398,3.9973595880499233,0.0003429227553528591,0.00044440214667385014,1.5027195334137389,-4.646961452442004,-0.00041014508831005436,-0.8516182307162772
1100.0000389079407,3.9717473114497768,0.00020783293462822705,0.00023723403003217403,1.515563586933026,-4.7231277805169,-0.0002923217298900216,-0.7623973259383838
1150.0000406764834,3.7420303299161035,0.00012675225843583604,7.722582229807706e-06,1.6278523845839574,-4.715966206911754,-0.0003472284392705971,-0.6506866940272833
1200.0000424450263,3.6281339009189715,1.306308359660946e-05,-9.751392652712632e-05,1.6864979028504916,-4.705945424809439,-0.0004950744502623117,-0.6030960346095129
1250.000044213569,3.7981406560579605,6.499093469070072e-05,3.5260588760355205e-05,1.6117270113442754,-4.705789915868024,-0.00030122312670899376,-0.7022782009808797
1300.000045982112,3.881077426687634,3.608611539585027e-06,8.359549442926717e-05,1.6071530157706604,-4.695655279875935,-0.00030564546273170734,-0.7921367665984769
1350.0000477506546,3.897783483223365,1.3685251737061144e-05,9.093774947843691e-05,1.6072465735833816,-4.701116901580791,-0.0003196508279480481,-0.8036568496869595
1400.0000495191973,3.8881739420802957,4.947530167109804e-06,7.59625036441669e-05,1.6086777607933584,-4.696153943282811,-0.0003095708632179228,-0.8003530210018031
1450.0000512877402,3.9018886485524655,1.846856157172727e-05,0.00018358983899069425,1.6042895823969534,-4.70240703745248,-0.00033468144460979676,-0.8036323459873101
1500.000053056283,3.904348496684593,1.3601786086780976e-05,0.00027555034102277887,1.6007438382218138,-4.702394925367769,-0.00034423146356998835,-0.8026319125102853
