gate,local_equivalence_fidelity,population_refined_fidelity,fidelity_change,local_equivalence_p100_sum,population_refined_p100_sum,p100_sum_reduction,p100_fractional_reduction
ZZZ,0.995999828245864,0.9962770769880894,0.0002772487422254555,50.39912927135239,45.715050815749166,4.6840784556032276,0.0929396702546948
XZZ,0.9992918063175193,0.9992432007166832,-4.8605600836193474e-05,43.87259163878785,42.90737296594774,0.9652186728401162,0.022000493629073973
